imgnum,imgIdx_name,Mean_photo,Mean_photo_deg,Mean_vecLD,Mean_vecLD_deg,Pos_1,Pos_2,Diff,Diff_deg
14897,img14897_max.png,2.10735559581257,120.742581573337,0.536563310835481,30.7428131524392,43,17,1.57079228497709,89.999768420898
14897,img14897_min.png,0.0984429885982677,5.64036776933522,0.0984319220716213,5.63973370406452,109,29,1.10665266463972e-05,0.000634065270707623
25824,img25824_max.png,1.75670441039074,100.651748567407,0.185872630803344,10.6497172720249,139,125,-1.5707608740024,-89.9979687046179
25824,img25824_min.png,0.195715876616996,11.213693713857,0.195749934790219,11.2156451034406,208,217,-3.4058173222995e-05,-0.00195138958360308
8836,img8836_max.png,1.40242627237377,80.3531064852814,2.9715195945268,170.255531506811,40,107,-1.56909332215303,-89.9024250215297
8836,img8836_min.png,1.20332213290372,68.9452796100633,1.20334095549326,68.9463580650036,13,39,-1.88225895423333e-05,-0.00107845494028278
36837,img36837_max.png,0.171282602746276,9.8137702413775,1.74178782614716,99.7970912454987,117,213,-1.57050522340088,-89.9833210041212
36837,img36837_min.png,2.42584425508705,138.990637572545,2.42583390448589,138.990044526783,47,70,1.03506011579491e-05,0.000593045761773704
49020,img49020_max.png,0.0361791021695598,2.07290986088838,1.60697699222423,92.0729994290758,210,78,1.57079476353512,89.9999104318126
49020,img49020_min.png,1.61329699759775,92.4351090634786,1.61329398315756,92.4349363487779,180,159,3.01444019501496e-06,0.00017271470076895
66142,img66142_max.png,3.11526741494218,178.491674930817,1.54442777326933,88.4891931711201,122,215,-1.57075301191694,-89.9975182403031
66142,img66142_min.png,0.0107346264591072,0.615048790756306,0.0107381974415593,0.615253392979529,117,30,-3.57098245218346e-06,-0.000204602223225389
56678,img56678_max.png,1.57877596955162,90.4571998519824,0.00798477550322071,0.457493936693995,212,160,1.5707911940484,89.9997059152884
56678,img56678_min.png,1.46408889852496,83.8861147174374,1.46408821457413,83.8860755299416,60,74,6.83950827085056e-07,3.91874957864557e-05
45809,img45809_max.png,1.05737062084605,60.5828739556064,2.62840346527796,150.596425417988,239,91,1.57055980915788,89.9864485376187
45809,img45809_min.png,1.29205690465242,74.0294075273204,1.29206307682015,74.0297611664819,131,27,-6.17216773179941e-06,-0.00035363916147894
24507,img24507_max.png,1.62909113894703,93.340046703825,0.0582931561774374,3.33995182346413,95,152,-1.5707946708202,-89.9999051196391
24507,img24507_min.png,1.59515534405986,91.3956688823688,1.59531157942498,91.4046205094005,190,237,-0.000156235365114998,-0.00895162703177486
66166,img66166_max.png,1.6568828496033,94.932394429878,0.0860728165452387,4.93160911884598,59,55,-1.57078262053174,-89.999214688968
66166,img66166_min.png,1.32941209813229,76.1697024566118,1.32938696395385,76.1682623742658,214,211,2.51341784378578e-05,0.00144008234601797
6032,img6032_max.png,0.0316432823822993,1.81302653044642,1.60246624204286,91.8145524812451,124,202,1.57076969392924,89.9984740492013
6032,img6032_min.png,0.489657415033594,28.0553032887106,0.489649533168911,28.0548516911296,12,174,7.88186468314578e-06,0.000451597581037471
27362,img27362_max.png,1.55618675192456,89.1629330194492,3.12698468900545,179.16302528204,62,218,1.5707947165089,89.9999077374089
27362,img27362_min.png,1.58132421827558,90.6032037490147,1.58133754086455,90.603967077135,158,179,-1.33225889726862e-05,-0.000763328120322452
66177,img66177_max.png,3.11400433231539,178.419305627126,1.54300267849393,88.4075412550834,24,36,-1.57059099976833,-89.9882356279575
66177,img66177_min.png,0.0361374308962334,2.07052227279984,0.0361319143854212,2.07020620001266,153,128,5.51651081215354e-06,0.000316072787174684
21713,img21713_max.png,1.02177235889617,58.5432437878767,2.59262707899938,148.546589477995,182,36,1.57073793348658,89.9966543098815
21713,img21713_min.png,3.0864471114588,176.840393176933,3.08644261401749,176.840135492527,226,182,4.4974413127008e-06,0.000257684405825533
17091,img17091_max.png,3.08521506848493,176.769802314352,1.51442202976555,86.7699907072013,126,4,1.57079303871939,89.9998116071506
17091,img17091_min.png,3.0725582603076,176.044620623684,3.07250614121123,176.04163441943,2,22,5.2119096374259e-05,0.00298620425428063
14572,img14572_max.png,1.75036172000355,100.288339177463,0.179727204319261,10.2976102711791,23,36,1.57063451568429,89.9907289062839
14572,img14572_min.png,1.47874640977319,84.725928250127,1.47874518622358,84.7258581458979,162,24,1.22354961629156e-06,7.01042290383579e-05
15759,img15759_max.png,1.61937898844846,92.7835814702611,0.0486417536731393,2.78696719358585,151,56,1.57073723477532,89.9966142766753
15759,img15759_min.png,1.65136412296732,94.6161946853501,1.6513663337742,94.6163213552537,112,214,-2.21080688156405e-06,-0.000126669903632099
37385,img37385_max.png,1.33992242707935,76.7718999465727,2.91085520675874,166.779718120956,231,136,1.57065987391041,89.9921818256163
37385,img37385_min.png,1.46582960076981,83.9858496094567,1.46589180474301,83.9894136345898,239,102,-6.22039731952295e-05,-0.00356402513303155
53629,img53629_max.png,3.07667357354643,176.280410703643,1.50589280366757,86.2813020492745,39,103,1.57078076987886,89.9991086543689
53629,img53629_min.png,3.0912386793559,177.114929794687,3.09117645598606,177.111364658209,21,215,6.22233698401864e-05,0.0035651364789243
70954,img70954_max.png,0.0637529054950834,3.65277241656468,1.63502642106522,93.6801133194171,113,147,1.57031913801965,89.9726590971476
70954,img70954_min.png,3.09336162988785,177.236565900283,3.09336880836946,177.236977196983,135,214,-7.17848160425305e-06,-0.000411296699236
33066,img33066_max.png,2.9567549037019,169.409577036729,1.38585664094827,79.4037365365132,112,93,-1.57069439083617,-89.9941594997842
